Time (s),Vsub = -20V (counts),Vsub = -5V (counts)
-1.94E-10,13,7
-1.94E-10,10,15
-1.93E-10,5,16
-1.92E-10,4,10
-1.91E-10,7,14
-1.90E-10,8,15
-1.90E-10,10,19
-1.89E-10,11,16
-1.88E-10,6,18
-1.87E-10,10,16
-1.86E-10,11,17
-1.86E-10,14,19
-1.85E-10,13,16
-1.84E-10,9,7
-1.83E-10,12,18
-1.82E-10,13,21
-1.81E-10,13,9
-1.81E-10,11,14
-1.80E-10,7,10
-1.79E-10,8,10
-1.78E-10,14,21
-1.77E-10,15,14
-1.77E-10,8,14
-1.76E-10,14,19
-1.75E-10,12,15
-1.74E-10,15,19
-1.73E-10,12,14
-1.72E-10,14,19
-1.72E-10,11,11
-1.71E-10,10,16
-1.70E-10,10,13
-1.69E-10,14,21
-1.68E-10,7,14
-1.68E-10,18,14
-1.67E-10,10,14
-1.66E-10,11,11
-1.65E-10,12,14
-1.64E-10,15,12
-1.64E-10,19,12
-1.63E-10,16,8
-1.62E-10,14,21
-1.61E-10,7,16
-1.60E-10,11,10
-1.59E-10,14,14
-1.59E-10,13,17
-1.58E-10,12,14
-1.57E-10,7,14
-1.56E-10,8,13
-1.55E-10,9,18
-1.55E-10,16,6
-1.54E-10,17,16
-1.53E-10,12,13
-1.52E-10,19,20
-1.51E-10,5,19
-1.51E-10,13,18
-1.50E-10,7,13
-1.49E-10,9,13
-1.48E-10,12,22
-1.47E-10,11,16
-1.46E-10,12,12
-1.46E-10,16,13
-1.45E-10,4,17
-1.44E-10,13,13
-1.43E-10,13,14
-1.42E-10,9,13
-1.42E-10,10,14
-1.41E-10,13,10
-1.40E-10,13,16
-1.39E-10,16,12
-1.38E-10,13,20
-1.37E-10,14,11
-1.37E-10,7,18
-1.36E-10,11,13
-1.35E-10,10,12
-1.34E-10,8,14
-1.33E-10,7,14
-1.33E-10,9,9
-1.32E-10,10,20
-1.31E-10,16,12
-1.30E-10,11,12
-1.29E-10,9,19
-1.29E-10,15,9
-1.28E-10,10,12
-1.27E-10,9,17
-1.26E-10,10,13
-1.25E-10,11,18
-1.24E-10,17,12
-1.24E-10,13,9
-1.23E-10,17,9
-1.22E-10,3,18
-1.21E-10,6,12
-1.20E-10,14,17
-1.20E-10,11,13
-1.19E-10,8,14
-1.18E-10,11,22
-1.17E-10,10,13
-1.16E-10,12,21
-1.15E-10,6,14
-1.15E-10,13,13
-1.14E-10,13,11
-1.13E-10,10,9
-1.12E-10,13,19
-1.11E-10,6,12
-1.11E-10,13,13
-1.10E-10,10,20
-1.09E-10,9,17
-1.08E-10,9,9
-1.07E-10,8,15
-1.07E-10,8,8
-1.06E-10,7,15
-1.05E-10,17,15
-1.04E-10,16,23
-1.03E-10,10,21
-1.02E-10,9,15
-1.02E-10,6,15
-1.01E-10,12,7
-1.00E-10,14,12
-9.92E-11,10,17
-9.84E-11,16,14
-9.76E-11,9,13
-9.68E-11,14,14
-9.60E-11,9,19
-9.51E-11,12,11
-9.43E-11,16,16
-9.35E-11,14,21
-9.27E-11,16,15
-9.19E-11,10,10
-9.11E-11,14,18
-9.03E-11,13,20
-8.94E-11,9,10
-8.86E-11,13,16
-8.78E-11,13,13
-8.70E-11,8,15
-8.62E-11,9,10
-8.54E-11,15,15
-8.46E-11,15,12
-8.37E-11,7,8
-8.29E-11,20,17
-8.21E-11,10,11
-8.13E-11,15,19
-8.05E-11,10,12
-7.97E-11,10,16
-7.89E-11,10,18
-7.80E-11,10,19
-7.72E-11,13,21
-7.64E-11,11,15
-7.56E-11,11,17
-7.48E-11,14,13
-7.40E-11,12,9
-7.32E-11,6,11
-7.23E-11,17,18
-7.15E-11,11,18
-7.07E-11,12,14
-6.99E-11,16,12
-6.91E-11,7,16
-6.83E-11,11,16
-6.75E-11,14,15
-6.66E-11,9,12
-6.58E-11,7,15
-6.50E-11,17,13
-6.42E-11,10,10
-6.34E-11,12,23
-6.26E-11,12,13
-6.18E-11,18,24
-6.09E-11,17,18
-6.01E-11,12,10
-5.93E-11,12,21
-5.85E-11,12,20
-5.77E-11,7,7
-5.69E-11,11,14
-5.61E-11,11,18
-5.52E-11,10,15
-5.44E-11,15,14
-5.36E-11,16,14
-5.28E-11,6,18
-5.20E-11,14,20
-5.12E-11,11,22
-5.04E-11,18,19
-4.95E-11,14,19
-4.87E-11,12,13
-4.79E-11,16,9
-4.71E-11,21,16
-4.63E-11,17,24
-4.55E-11,14,18
-4.47E-11,13,17
-4.38E-11,11,9
-4.30E-11,6,15
-4.22E-11,11,12
-4.14E-11,15,18
-4.06E-11,10,12
-3.98E-11,11,20
-3.90E-11,8,12
-3.81E-11,13,17
-3.73E-11,14,16
-3.65E-11,11,16
-3.57E-11,14,19
-3.49E-11,12,19
-3.41E-11,15,18
-3.33E-11,6,20
-3.24E-11,13,19
-3.16E-11,16,14
-3.08E-11,21,24
-3.00E-11,13,12
-2.92E-11,15,13
-2.84E-11,12,17
-2.76E-11,12,18
-2.67E-11,11,10
-2.59E-11,10,17
-2.51E-11,19,22
-2.43E-11,10,21
-2.35E-11,12,15
-2.27E-11,10,11
-2.19E-11,13,19
-2.10E-11,13,13
-2.02E-11,10,20
-1.94E-11,8,9
-1.86E-11,14,15
-1.78E-11,8,18
-1.70E-11,12,15
-1.62E-11,19,19
-1.53E-11,14,22
-1.45E-11,15,21
-1.37E-11,17,14
-1.29E-11,4,17
-1.21E-11,5,16
-1.13E-11,12,16
-1.05E-11,16,14
-9.64E-12,9,8
-8.83E-12,9,12
-8.01E-12,10,15
-7.20E-12,8,19
-6.38E-12,11,24
-5.57E-12,10,16
-4.76E-12,8,19
-3.94E-12,11,16
-3.13E-12,18,23
-2.31E-12,13,19
-1.50E-12,17,15
-6.84E-13,14,18
1.30E-13,9,20
9.45E-13,14,23
1.76E-12,15,20
2.57E-12,10,13
3.39E-12,11,14
4.20E-12,14,12
5.02E-12,14,22
5.83E-12,14,17
6.64E-12,8,15
7.46E-12,13,23
8.27E-12,10,10
9.09E-12,11,17
9.90E-12,12,14
1.07E-11,17,15
1.15E-11,15,11
1.23E-11,14,13
1.32E-11,9,18
1.40E-11,13,21
1.48E-11,11,19
1.56E-11,18,21
1.64E-11,13,17
1.72E-11,7,17
1.80E-11,12,13
1.89E-11,10,16
1.97E-11,9,22
2.05E-11,7,22
2.13E-11,12,12
2.21E-11,10,22
2.29E-11,12,14
2.37E-11,10,16
2.46E-11,13,10
2.54E-11,9,16
2.62E-11,10,12
2.70E-11,14,16
2.78E-11,15,21
2.86E-11,8,17
2.94E-11,16,12
3.03E-11,6,17
3.11E-11,12,19
3.19E-11,10,14
3.27E-11,8,14
3.35E-11,9,18
3.43E-11,15,14
3.51E-11,8,14
3.60E-11,12,11
3.68E-11,14,18
3.76E-11,23,15
3.84E-11,8,22
3.92E-11,8,24
4.00E-11,14,12
4.08E-11,10,19
4.17E-11,16,20
4.25E-11,8,10
4.33E-11,15,17
4.41E-11,13,19
4.49E-11,14,22
4.57E-11,14,13
4.65E-11,10,14
4.74E-11,13,15
4.82E-11,12,20
4.90E-11,6,23
4.98E-11,17,24
5.06E-11,15,22
5.14E-11,6,18
5.22E-11,12,13
5.31E-11,12,21
5.39E-11,6,14
5.47E-11,14,16
5.55E-11,17,23
5.63E-11,12,14
5.71E-11,12,14
5.79E-11,10,22
5.88E-11,8,25
5.96E-11,21,13
6.04E-11,15,8
6.12E-11,12,17
6.20E-11,8,10
6.28E-11,10,18
6.36E-11,8,23
6.45E-11,8,14
6.53E-11,12,18
6.61E-11,9,18
6.69E-11,12,13
6.77E-11,12,6
6.85E-11,11,15
6.93E-11,17,15
7.02E-11,14,19
7.10E-11,13,13
7.18E-11,18,8
7.26E-11,15,10
7.34E-11,13,16
7.42E-11,13,17
7.50E-11,8,15
7.59E-11,14,12
7.67E-11,5,15
7.75E-11,12,9
7.83E-11,15,13
7.91E-11,12,20
7.99E-11,14,10
8.07E-11,5,11
8.16E-11,12,21
8.24E-11,8,14
8.32E-11,14,14
8.40E-11,10,15
8.48E-11,6,17
8.56E-11,12,18
8.64E-11,15,11
8.73E-11,7,23
8.81E-11,10,14
8.89E-11,11,11
8.97E-11,18,16
9.05E-11,15,22
9.13E-11,13,23
9.21E-11,11,18
9.30E-11,8,18
9.38E-11,14,22
9.46E-11,16,13
9.54E-11,7,18
9.62E-11,9,16
9.70E-11,12,15
9.78E-11,17,12
9.87E-11,8,10
9.95E-11,16,18
1.00E-10,8,14
1.01E-10,14,18
1.02E-10,8,13
1.03E-10,12,18
1.04E-10,9,13
1.04E-10,13,9
1.05E-10,13,16
1.06E-10,10,10
1.07E-10,13,20
1.08E-10,13,20
1.08E-10,8,16
1.09E-10,11,18
1.10E-10,10,12
1.11E-10,18,21
1.12E-10,11,19
1.13E-10,15,18
1.13E-10,10,19
1.14E-10,16,17
1.15E-10,8,14
1.16E-10,16,13
1.17E-10,10,13
1.17E-10,12,20
1.18E-10,16,18
1.19E-10,11,14
1.20E-10,12,12
1.21E-10,11,11
1.21E-10,11,18
1.22E-10,17,14
1.23E-10,19,15
1.24E-10,9,12
1.25E-10,11,18
1.26E-10,12,21
1.26E-10,9,16
1.27E-10,4,18
1.28E-10,13,24
1.29E-10,15,14
1.30E-10,16,17
1.30E-10,9,22
1.31E-10,7,8
1.32E-10,17,11
1.33E-10,10,14
1.34E-10,12,14
1.34E-10,13,13
1.35E-10,8,15
1.36E-10,11,17
1.37E-10,10,19
1.38E-10,6,18
1.39E-10,9,10
1.39E-10,11,7
1.40E-10,16,14
1.41E-10,12,24
1.42E-10,11,20
1.43E-10,14,18
1.43E-10,14,20
1.44E-10,17,9
1.45E-10,12,18
1.46E-10,11,17
1.47E-10,13,15
1.48E-10,14,18
1.48E-10,6,20
1.49E-10,15,9
1.50E-10,11,15
1.51E-10,15,15
1.52E-10,7,10
1.52E-10,14,16
1.53E-10,9,11
1.54E-10,12,14
1.55E-10,15,15
1.56E-10,14,11
1.56E-10,11,18
1.57E-10,14,18
